country_name,Value
United States,2.22
Germany,1.72
Israel,1.67
Canada,1.55
United Kingdom,1.53
Korea,1.43
Japan,1.24
Türkiye,1.22
France,1.13
OECD average,1
Spain,0.98
Netherlands,0.95
Italy,0.93
Switzerland,0.91
Greece,0.91
Australia,0.87
Poland,0.81
Ireland,0.69
Sweden,0.67
Norway,0.65
Finland,0.64
Belgium,0.6
Hungary,0.58
Lithuania,0.56
Austria,0.55
Denmark,0.53
Estonia,0.51
Mexico,0.49
New Zealand,0.44
Slovenia,0.43
Czechia,0.42
Portugal,0.42
Luxembourg,0.4
Chile,0.39
Slovak Republic,0.35
Iceland,0.1
Latvia,0.09
