Year,Organization,# publications (fractional count)
2000,Beihang University,35.35
2001,Beihang University,75.3
2002,Beihang University,173.7690476
2003,Beihang University,191.4333333
2004,Beihang University,199.175
2005,Beihang University,328.5059885
2006,Beihang University,749.3277778
2007,Beihang University,782.4230159
2008,Beihang University,1127.102381
2009,Beihang University,1183.697713
2010,Beihang University,1410.951562
2011,Beihang University,1558.00415
2012,Beihang University,1490.068107
2013,Beihang University,1662.294488
2014,Beihang University,1665.384022
2015,Beihang University,1641.534873
2016,Beihang University,1720.923984
2017,Beihang University,1818.894349
2018,Beihang University,2001.165475
2019,Beihang University,2035.786698
2020,Beihang University,1807.88561
2021,Beihang University,2137.948497
2022,Beihang University,2382.727282
2023,Beihang University,2517.6696197168762
2000,Beijing Institute of Technology,29.58333333
2001,Beijing Institute of Technology,38.90497835
2002,Beijing Institute of Technology,126.3833333
2003,Beijing Institute of Technology,162.3166667
2004,Beijing Institute of Technology,302.7833333
2005,Beijing Institute of Technology,438.7392857
2006,Beijing Institute of Technology,699.3650794
2007,Beijing Institute of Technology,755.7710317
2008,Beijing Institute of Technology,805.1460317
2009,Beijing Institute of Technology,916.902381
2010,Beijing Institute of Technology,1026.831262
2011,Beijing Institute of Technology,1020.292493
2012,Beijing Institute of Technology,997.6288836
2013,Beijing Institute of Technology,1171.122192
2014,Beijing Institute of Technology,1152.697416
2015,Beijing Institute of Technology,1133.004459
2016,Beijing Institute of Technology,1031.015794
2017,Beijing Institute of Technology,1162.758261
2018,Beijing Institute of Technology,1286.182894
2019,Beijing Institute of Technology,1748.52895
2020,Beijing Institute of Technology,1559.004068
2021,Beijing Institute of Technology,1928.1127
2022,Beijing Institute of Technology,2292.461618
2023,Beijing Institute of Technology,2386.5237920852555
2000,Chinese Academy of Sciences,116.6687562
2001,Chinese Academy of Sciences,119.1729329
2002,Chinese Academy of Sciences,158.1633447
2003,Chinese Academy of Sciences,190.021756
2004,Chinese Academy of Sciences,299.2682118
2005,Chinese Academy of Sciences,453.4704443
2006,Chinese Academy of Sciences,641.5396471
2007,Chinese Academy of Sciences,655.2817071
2008,Chinese Academy of Sciences,751.3891231
2009,Chinese Academy of Sciences,812.4745399
2010,Chinese Academy of Sciences,870.9608549
2011,Chinese Academy of Sciences,1031.396564
2012,Chinese Academy of Sciences,1201.590851
2013,Chinese Academy of Sciences,1222.047499
2014,Chinese Academy of Sciences,1389.252388
2015,Chinese Academy of Sciences,1314.379826
2016,Chinese Academy of Sciences,1404.092198
2017,Chinese Academy of Sciences,1464.753955
2018,Chinese Academy of Sciences,1611.525401
2019,Chinese Academy of Sciences,1877.653547
2020,Chinese Academy of Sciences,1854.65301
2021,Chinese Academy of Sciences,2292.68293
2022,Chinese Academy of Sciences,2498.690377
2023,Chinese Academy of Sciences,2703.593363142994
2000,French National Centre for Scientific Research,327.1877584
2001,French National Centre for Scientific Research,366.9584244
2002,French National Centre for Scientific Research,944.3584027
2003,French National Centre for Scientific Research,602.3865478
2004,French National Centre for Scientific Research,607.7919948
2005,French National Centre for Scientific Research,699.7182283
2006,French National Centre for Scientific Research,800.8664985
2007,French National Centre for Scientific Research,829.5103403
2008,French National Centre for Scientific Research,884.9112228
2009,French National Centre for Scientific Research,956.0539037
2010,French National Centre for Scientific Research,1070.210719
2011,French National Centre for Scientific Research,1059.892067
2012,French National Centre for Scientific Research,1062.899632
2013,French National Centre for Scientific Research,1016.224709
2014,French National Centre for Scientific Research,1083.908029
2015,French National Centre for Scientific Research,1169.529777
2016,French National Centre for Scientific Research,1106.647891
2017,French National Centre for Scientific Research,1209.632662
2018,French National Centre for Scientific Research,1275.675121
2019,French National Centre for Scientific Research,1343.286078
2020,French National Centre for Scientific Research,1418.732712
2021,French National Centre for Scientific Research,1609.971137
2022,French National Centre for Scientific Research,1690.311123
2023,French National Centre for Scientific Research,1626.0957316748847
2000,Harbin Institute of Technology,92.32582418
2001,Harbin Institute of Technology,121.252381
2002,Harbin Institute of Technology,374.1059524
2003,Harbin Institute of Technology,389.6857143
2004,Harbin Institute of Technology,599.6587535
2005,Harbin Institute of Technology,1022.773404
2006,Harbin Institute of Technology,1686.87442
2007,Harbin Institute of Technology,1512.521787
2008,Harbin Institute of Technology,1756.949722
2009,Harbin Institute of Technology,1836.493326
2010,Harbin Institute of Technology,1862.676335
2011,Harbin Institute of Technology,1860.582559
2012,Harbin Institute of Technology,1677.453763
2013,Harbin Institute of Technology,1653.593704
2014,Harbin Institute of Technology,1785.853353
2015,Harbin Institute of Technology,1605.884675
2016,Harbin Institute of Technology,1687.591554
2017,Harbin Institute of Technology,1810.040887
2018,Harbin Institute of Technology,2030.32008
2019,Harbin Institute of Technology,2341.463195
