Date,Topic,Publications
2010,Artificial Intelligence,1488
2011,Artificial Intelligence,1511
2012,Artificial Intelligence,1313
2013,Artificial Intelligence,1291
2014,Artificial Intelligence,1349
2015,Artificial Intelligence,1429
2016,Artificial Intelligence,1654
2017,Artificial Intelligence,1721
2018,Artificial Intelligence,2165
2019,Artificial Intelligence,2860
2020,Artificial Intelligence,3271
2021,Artificial Intelligence,3657
2022,Artificial Intelligence,4307
2023,Artificial Intelligence,3991.457024666769
2010,Convolutional Neural Network,335
2011,Convolutional Neural Network,364
2012,Convolutional Neural Network,329
2013,Convolutional Neural Network,349
2014,Convolutional Neural Network,406
2015,Convolutional Neural Network,576
2016,Convolutional Neural Network,786
2017,Convolutional Neural Network,1066
2018,Convolutional Neural Network,1711
2019,Convolutional Neural Network,3087
2020,Convolutional Neural Network,3084
2021,Convolutional Neural Network,3689
2022,Convolutional Neural Network,4237
2023,Convolutional Neural Network,3796.850007660488
2010,Data Mining,377
2011,Data Mining,425
2012,Data Mining,470
2013,Data Mining,494
2014,Data Mining,590
2015,Data Mining,701
2016,Data Mining,946
2017,Data Mining,1072
2018,Data Mining,1543
2019,Data Mining,2076
2020,Data Mining,2100
2021,Data Mining,2541
2022,Data Mining,2881
2023,Data Mining,2402.39007200858
2010,Deep Learning,163
2011,Deep Learning,182
2012,Deep Learning,211
2013,Deep Learning,234
2014,Deep Learning,309
2015,Deep Learning,651
2016,Deep Learning,1301
2017,Deep Learning,2972
2018,Deep Learning,6176
2019,Deep Learning,10824
2020,Deep Learning,14938
2021,Deep Learning,19862
2022,Deep Learning,25622
2023,Deep Learning,22871.021908993414
2010,IOU,10
2011,IOU,9
2012,IOU,26
2013,IOU,23
2014,IOU,78
2015,IOU,226
2016,IOU,688
2017,IOU,1897
2018,IOU,4430
2019,IOU,8252
2020,IOU,12107
2021,IOU,16525
2022,IOU,21769
2023,IOU,19738.51999387161
2010,Named Entity Recognition,186
2011,Named Entity Recognition,186
2012,Named Entity Recognition,209
2013,Named Entity Recognition,226
2014,Named Entity Recognition,265
2015,Named Entity Recognition,459
2016,Named Entity Recognition,598
2017,Named Entity Recognition,803
2018,Named Entity Recognition,1334
2019,Named Entity Recognition,1863
2020,Named Entity Recognition,2692
2021,Named Entity Recognition,3114
2022,Named Entity Recognition,3616
2023,Named Entity Recognition,2340.6526735100356
2010,Object Detection,56
2011,Object Detection,51
2012,Object Detection,81
2013,Object Detection,73
2014,Object Detection,143
2015,Object Detection,320
2016,Object Detection,812
2017,Object Detection,2052
2018,Object Detection,4618
2019,Object Detection,8513
2020,Object Detection,12368
2021,Object Detection,16791
2022,Object Detection,22045
2023,Object Detection,19945.20606710587
2010,Prediction,575
2011,Prediction,570
2012,Prediction,565
2013,Prediction,573
2014,Prediction,636
2015,Prediction,663
2016,Prediction,855
2017,Prediction,976
2018,Prediction,1414
2019,Prediction,1874
2020,Prediction,2254
2021,Prediction,2790
2022,Prediction,3351
2023,Prediction,3265.371533629539
2010,Recommender Systems,265
2011,Recommender Systems,343
2012,Recommender Systems,346
2013,Recommender Systems,413
2014,Recommender Systems,467
2015,Recommender Systems,548
2016,Recommender Systems,687
2017,Recommender Systems,901
2018,Recommender Systems,1243
2019,Recommender Systems,1746
2020,Recommender Systems,1859
2021,Recommender Systems,2180
2022,Recommender Systems,2706
2023,Recommender Systems,2362.12655124866
2010,Transfer Of Learning,383
2011,Transfer Of Learning,419
2012,Transfer Of Learning,455
2013,Transfer Of Learning,459
2014,Transfer Of Learning,483
2015,Transfer Of Learning,632
2016,Transfer Of Learning,713
2017,Transfer Of Learning,966
2018,Transfer Of Learning,1516
2019,Transfer Of Learning,2086
2020,Transfer Of Learning,2455
2021,Transfer Of Learning,3204
2022,Transfer Of Learning,3996
2023,Transfer Of Learning,3540.5055921556614
