Year,Organization,# publications
2000,Amrita Vishwa Vidyapeetham University,5
2002,Amrita Vishwa Vidyapeetham University,1
2003,Amrita Vishwa Vidyapeetham University,4
2004,Amrita Vishwa Vidyapeetham University,6
2005,Amrita Vishwa Vidyapeetham University,5
2006,Amrita Vishwa Vidyapeetham University,11
2007,Amrita Vishwa Vidyapeetham University,12
2008,Amrita Vishwa Vidyapeetham University,15
2009,Amrita Vishwa Vidyapeetham University,68
2010,Amrita Vishwa Vidyapeetham University,89
2011,Amrita Vishwa Vidyapeetham University,106
2012,Amrita Vishwa Vidyapeetham University,118
2013,Amrita Vishwa Vidyapeetham University,104
2014,Amrita Vishwa Vidyapeetham University,241
2015,Amrita Vishwa Vidyapeetham University,366
2016,Amrita Vishwa Vidyapeetham University,394
2017,Amrita Vishwa Vidyapeetham University,577
2018,Amrita Vishwa Vidyapeetham University,563
2019,Amrita Vishwa Vidyapeetham University,578
2020,Amrita Vishwa Vidyapeetham University,702
2021,Amrita Vishwa Vidyapeetham University,815
2022,Amrita Vishwa Vidyapeetham University,992
2023,Amrita Vishwa Vidyapeetham University,831.8307618896135
2000,"Anna University, Chennai",22
2001,"Anna University, Chennai",18
2002,"Anna University, Chennai",40
2003,"Anna University, Chennai",33
2004,"Anna University, Chennai",59
2005,"Anna University, Chennai",74
2006,"Anna University, Chennai",104
2007,"Anna University, Chennai",109
2008,"Anna University, Chennai",130
2009,"Anna University, Chennai",134
2010,"Anna University, Chennai",219
2011,"Anna University, Chennai",304
2012,"Anna University, Chennai",362
2013,"Anna University, Chennai",433
2014,"Anna University, Chennai",467
2015,"Anna University, Chennai",334
2016,"Anna University, Chennai",378
2017,"Anna University, Chennai",400
2018,"Anna University, Chennai",461
2019,"Anna University, Chennai",483
2020,"Anna University, Chennai",512
2021,"Anna University, Chennai",604
2022,"Anna University, Chennai",603
2023,"Anna University, Chennai",550.3737871798951
2000,Indian Institute of Science Bangalore,67
2001,Indian Institute of Science Bangalore,79
2002,Indian Institute of Science Bangalore,204
2003,Indian Institute of Science Bangalore,176
2004,Indian Institute of Science Bangalore,208
2005,Indian Institute of Science Bangalore,252
2006,Indian Institute of Science Bangalore,262
2007,Indian Institute of Science Bangalore,259
2008,Indian Institute of Science Bangalore,256
2009,Indian Institute of Science Bangalore,284
2010,Indian Institute of Science Bangalore,286
2011,Indian Institute of Science Bangalore,309
2012,Indian Institute of Science Bangalore,359
2013,Indian Institute of Science Bangalore,505
2014,Indian Institute of Science Bangalore,456
2015,Indian Institute of Science Bangalore,436
2016,Indian Institute of Science Bangalore,477
2017,Indian Institute of Science Bangalore,480
2018,Indian Institute of Science Bangalore,504
2019,Indian Institute of Science Bangalore,596
2020,Indian Institute of Science Bangalore,658
2021,Indian Institute of Science Bangalore,712
2022,Indian Institute of Science Bangalore,568
2023,Indian Institute of Science Bangalore,526.6868140607603
2000,Indian Institute of Technology Bombay,69
2001,Indian Institute of Technology Bombay,57
2002,Indian Institute of Technology Bombay,186
2003,Indian Institute of Technology Bombay,145
2004,Indian Institute of Technology Bombay,166
2005,Indian Institute of Technology Bombay,184
2006,Indian Institute of Technology Bombay,208
2007,Indian Institute of Technology Bombay,218
2008,Indian Institute of Technology Bombay,220
2009,Indian Institute of Technology Bombay,244
2010,Indian Institute of Technology Bombay,279
2011,Indian Institute of Technology Bombay,301
2012,Indian Institute of Technology Bombay,342
2013,Indian Institute of Technology Bombay,366
2014,Indian Institute of Technology Bombay,379
2015,Indian Institute of Technology Bombay,421
2016,Indian Institute of Technology Bombay,502
2017,Indian Institute of Technology Bombay,464
2018,Indian Institute of Technology Bombay,572
2019,Indian Institute of Technology Bombay,652
2020,Indian Institute of Technology Bombay,703
2021,Indian Institute of Technology Bombay,623
2022,Indian Institute of Technology Bombay,603
2023,Indian Institute of Technology Bombay,615.8613010975029
2000,Indian Institute of Technology Delhi,58
2001,Indian Institute of Technology Delhi,40
2002,Indian Institute of Technology Delhi,132
2003,Indian Institute of Technology Delhi,108
2004,Indian Institute of Technology Delhi,131
2005,Indian Institute of Technology Delhi,198
2006,Indian Institute of Technology Delhi,252
2007,Indian Institute of Technology Delhi,213
2008,Indian Institute of Technology Delhi,250
2009,Indian Institute of Technology Delhi,262
2010,Indian Institute of Technology Delhi,326
2011,Indian Institute of Technology Delhi,317
2012,Indian Institute of Technology Delhi,328
2013,Indian Institute of Technology Delhi,399
2014,Indian Institute of Technology Delhi,480
2015,Indian Institute of Technology Delhi,481
2016,Indian Institute of Technology Delhi,731
2017,Indian Institute of Technology Delhi,612
2018,Indian Institute of Technology Delhi,816
2019,Indian Institute of Technology Delhi,802
2020,Indian Institute of Technology Delhi,1012
2021,Indian Institute of Technology Delhi,992
2022,Indian Institute of Technology Delhi,933
2023,Indian Institute of Technology Delhi,1022.7198982026405
2000,Indian Institute of Technology Kharagpur,44
2001,Indian Institute of Technology Kharagpur,43
2002,Indian Institute of Technology Kharagpur,156
2003,Indian Institute of Technology Kharagpur,76
2004,Indian Institute of Technology Kharagpur,124
2005,Indian Institute of Technology Kharagpur,156
